N_BFS;N_CNC;Situacao_CNC;Data_Sincronizacao;Data_Fiscalizacao;Data_Execução;Fiscal;Regional;Area;Setor;Turno;Servico;Responsividade;Endereco;Coordenada;Fiscal_Contratada
60442;48642;Respondido;01/03/2026 16:17:05;01/03/2026 16:17:01;02/03/2026 08:45:43;EDUARDO VALENTIM FERNANDES PEREIRA;Casa Verde/Cachoeirinha;Casa Verde/Cachoeirinha;;Tarde;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;24;Praça Professor Cesarino Júnior, 631 - Casa Verde, São Paulo - SP, 02512-020, Brasil;-23.514440604676267,-46.66309274890712;Wilson Da Silva Domingos
60445;48645;Respondido;01/03/2026 19:03:49;01/03/2026 19:03:44;02/03/2026 08:57:34;EDUARDO VALENTIM FERNANDES PEREIRA;Casa Verde/Cachoeirinha;Casa Verde/Cachoeirinha;;Noite;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;24;R. Arpuí, 113 - Casa Verde, São Paulo - SP, 02514-050, Brasil;-23.5071829,-46.654107;Wilson Da Silva Domingos
60459;48656;Regularizado;02/03/2026 06:22:02;02/03/2026 06:21:58;02/03/2026 08:49:40;Sérgio Roberto da Silva;Vila Maria/Vila Guilherme;Vila Maria/Vila Guilherme;00;Manhã;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;24;R. Acorizal, 257 - Vila Maria Alta, São Paulo - SP, 02136-040, Brasil;-23.497984882428124,-46.58197563951714;Wesley Arakaki Silva
60462;48659;Regularizado;02/03/2026 06:26:31;02/03/2026 06:26:23;02/03/2026 08:46:59;Sérgio Roberto da Silva;Vila Maria/Vila Guilherme;Vila Maria/Vila Guilherme;00;Manhã;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;24;R. Santa Fé do Sul, 293 - Vila Maria Alta, São Paulo - SP, 02133-010, Brasil;-23.4985053,-46.5828059;Wesley Arakaki Silva
60465;48662;Regularizado;02/03/2026 06:34:09;02/03/2026 06:34:05;02/03/2026 08:42:00;Sérgio Roberto da Silva;Vila Maria/Vila Guilherme;Vila Maria/Vila Guilherme;00;Manhã;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;24;R. Padre Sabóia de Medeiros, 533 - Vila Maria Alta, São Paulo - SP, 02134-000, Brasil;-23.49773414869631,-46.58608837563952;Wesley Arakaki Silva
60472;48670;Regularizado;02/03/2026 06:51:47;02/03/2026 06:51:43;02/03/2026 08:09:53;Sérgio Roberto da Silva;Vila Maria/Vila Guilherme;Vila Maria/Vila Guilherme;00;Manhã;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;24;R. Volter Volthers, 417 - Vila Maria Alta, São Paulo - SP, 02129-010, Brasil;-23.501698547988692,-46.588444088595985;Wesley Arakaki Silva
60579;48759;Respondido;02/03/2026 09:01:21;02/03/2026 09:01:17;02/03/2026 10:01:22;EDUARDO VALENTIM FERNANDES PEREIRA;Casa Verde/Cachoeirinha;Casa Verde/Cachoeirinha;;Manhã;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;24;R. Mangaratu, 26 - Casa Verde, São Paulo - SP, 02514-030, Brasil;-23.509500859895915,-46.65448311238774;Wilson Da Silva Domingos
60632;48818;Regularizado;02/03/2026 09:09:50;02/03/2026 09:09:46;02/03/2026 11:07:01;José de Arimatea de Souza Almeida;Santana/Tucuruvi;Santana/Tucuruvi;30;Manhã;Varrição manual de vias e logradouros públicos;6;R. Paulo César, 156 - Tucuruvi, São Paulo - SP, 02311-240, Brasil;-23.4682136,-46.6027679;Leandro Correa
60697;48878;Regularizado;02/03/2026 09:35:07;02/03/2026 09:35:02;02/03/2026 10:34:24;Sérgio Roberto da Silva;Vila Maria/Vila Guilherme;Vila Maria/Vila Guilherme;00;Manhã;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;24;Rua Emanuele Saporiti, 374 - Vila Maria, São Paulo - SP, 02129-070, Brasil;-23.505490164173573,-46.58820728682619;Wesley Arakaki Silva
60704;48884;Regularizado;02/03/2026 09:38:08;02/03/2026 09:38:03;02/03/2026 10:37:55;Sérgio Roberto da Silva;Vila Maria/Vila Guilherme;Vila Maria/Vila Guilherme;00;Manhã;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;24;Rua Emanuele Saporiti, 279 - Vila Maria Alta, São Paulo - SP, 02129-070, Brasil;-23.504698749207012,-46.58842730719448;Wesley Arakaki Silva
