modulo_selimp,qtd_trocas
03-0001,5
03-0005,4
03-0011,5
03-0003,3
03-0007,9
03-0009,10
03-0010,9
03-0012,4
03-0013,9
03-0018,5
03-0021,8
03-0024,5
03-0025,10
03-0026,7
03-0027,7
03-0028,4
03-0030,4
03-0032,7
03-0034,4
03-0039,6
03-0040,4
03-0041,5
03-0049,9
03-0050,4
03-0051,10
03-0052,6
03-0043,8
03-0044,10
03-0045,5
03-0046,6
03-0047,8
03-0048,6
03-0053,9
03-0054,6
03-0056,8
03-0057,8
03-0058,7
03-0059,10
03-0060,8
03-0061,8
03-0090,10
03-0091,5
03-0014,6
03-0029,4
03-0031,4
03-0033,6
03-0035,10
03-0036,6
03-0037,4
03-0038,9
03-0092,9
03-0093,6
03-0094,6
03-0095,9
03-0096,5
03-0097,6
03-0098,9
03-0015,5
03-0016,4
03-0017,9
03-0019,5
03-0020,10
03-0022,9
03-0023,9
03-0099,4
03-0100,4
03-0101,7
03-0108,11
03-0109,6
03-0110,5
03-0111,7
03-0112,10
03-0002,5
03-0004,10
03-0006,10
03-0008,10
03-0113,5
03-0114,6
03-0115,7
03-0116,10
03-0117,5
03-0119,7
03-0120,6
03-0121,4
03-0122,10
03-0123,3
03-0124,4
03-0125,9
03-0126,7
03-0127,9
03-0128,6
03-0129,5
03-0130,6
03-0131,12
03-0133,5
03-0134,6
03-0135,4
03-0136,9
03-0137,10
03-0138,8
03-0139,9
03-0140,8
03-0141,3
03-0142,3
03-0143,5
03-0144,4
03-0147,2
03-0148,4
03-0149,2
03-0150,4
03-0151,2
03-0152,3
03-0154,2
03-0155,1
03-0157,4
03-0159,2
03-0160,2
03-0162,2
03-0163,1
03-0164,3
03-0165,3
03-0166,2
03-0167,3
03-0169,1
03-0170,2
03-0171,3
03-0172,4
03-0173,5
03-0174,2
03-0175,3
03-0176,2
03-0177,2
03-0178,4
03-0179,5
03-0180,3
03-0181,3
03-0182,4
03-0183,2
03-0184,1
03-0185,3
03-0186,4
03-0187,3
03-0188,3
03-0189,4
03-0190,3
03-0191,4
03-0192,4
03-0193,3
03-0194,2
03-0195,5
03-0196,5
03-0197,3
03-0198,2
03-0199,2
03-0200,2
03-0201,1
03-0202,4
03-0203,3
03-0204,2
03-0132,5
03-0206,2
03-0207,2
03-0208,2
03-0209,2
03-0210,2
03-0211,4
03-0212,0
03-0214,4
03-0215,1
03-0216,4
03-0217,1
03-0238,2
03-0239,4
03-0240,6
03-0241,2
03-0242,3
03-0243,3
03-0246,2
03-0218,2
03-0219,3
03-0247,2
03-0248,1
03-0249,2
03-0250,5
03-0251,4
03-0252,2
03-0253,4
03-0254,2
03-0255,3
03-0256,4
03-0257,3
03-0259,3
03-0260,3
03-0261,1
03-0262,4
03-0263,3
03-0264,3
03-0265,2
03-0220,4
03-0221,3
03-0222,4
03-0223,0
03-0224,4
03-0227,2
03-0231,3
03-0266,2
03-0267,3
03-0268,3
03-0269,3
03-0270,3
03-0271,3
03-0278,4
03-0279,2
03-0280,2
03-0042,5
03-0055,7
03-0062,11
03-0063,3
03-0064,5
03-0065,10
03-0066,6
03-0225,4
03-0226,3
03-0232,2
03-0244,4
03-0245,4
03-0067,5
03-0068,8
03-0069,8
03-0070,4
03-0071,7
03-0072,7
03-0073,10
03-0074,5
03-0075,7
03-0076,8
03-0077,7
03-0078,5
03-0079,4
03-0080,8
03-0081,7
03-0102,5
03-0103,10
03-0104,7
03-0105,7
03-0106,3
03-0107,11
03-0205,2
03-0082,11
03-0083,7
03-0084,3
03-0085,5
03-0086,9
03-0087,9
03-0088,7
03-0089,6
03-0118,5
03-0153,2
03-0156,2
03-0161,3
03-0168,4
03-0213,4
03-0228,2
03-0230,0
03-0233,3
03-0234,4
03-0235,5
03-0236,5
03-0348,0
03-0146,3
03-0281,3
03-0282,2
03-0283,3
03-0284,4
03-0285,3
03-0286,2
03-0287,2
03-0288,3
03-0289,3
03-0145,2
03-0158,1
03-0229,1
03-0237,1
03-0258,1
03-0290,4
03-0291,3
03-0292,3
03-0293,3
03-0294,2
03-0295,3
03-0297,4
03-0301,2
03-0302,5
03-0303,4
03-0304,3
03-0305,8
03-0306,3
03-0307,3
03-0308,5
03-0309,4
03-0310,4
03-0272,3
03-0273,5
03-0274,2
03-0275,3
03-0276,2
03-0277,3
03-0296,2
03-0298,4
03-0299,4
03-0300,3
03-0311,3
03-0312,4
03-0313,4
03-0314,2
03-0315,2
03-0316,3
03-0317,1
03-0318,2
03-0319,4
03-0320,3
03-0321,3
03-0322,3
03-0323,3
03-0324,1
03-0325,2
03-0326,4
03-0327,4
03-0328,3
03-0329,3
03-0330,3
03-0331,1
03-0332,0
03-0333,0
03-0334,0
03-0335,0
03-0336,0
03-0337,0
03-0338,0
03-0339,0
03-0340,0
03-0341,0
03-0342,0
03-0343,0
03-0344,0
03-0345,0
03-0346,0
03-0347,0
